Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
01-01-2020,TATAMOTORS,EQ,185.15,185.15,186.7,183.6,184.25,184.45,185.11,25968357,4.80695E+14,99072,1878537,0.0723
02-01-2020,TATAMOTORS,EQ,184.45,185,194.7,184.6,193.85,193.75,190.57,57289863,1.09175E+15,251258,9368491,0.1635
03-01-2020,TATAMOTORS,EQ,193.75,192.9,195.65,189.25,191.25,191.1,192,47572728,9.13414E+14,185614,4181757,0.0879
06-01-2020,TATAMOTORS,EQ,191.1,191,191,185.05,185.4,185.65,187.3,28621212,5.3608E+14,138113,3848110,0.1344
07-01-2020,TATAMOTORS,EQ,185.65,187,189.4,182.3,184.35,184.7,185.41,34995035,6.48831E+14,133404,3453069,0.0987
08-01-2020,TATAMOTORS,EQ,184.7,180.2,184.2,180.2,182.75,182.55,182.39,21862695,3.98754E+14,96592,2366695,0.1083
09-01-2020,TATAMOTORS,EQ,182.55,184.85,192.75,184.25,192.4,192,189.24,40803142,7.72152E+14,169349,4419385,0.1083
10-01-2020,TATAMOTORS,EQ,192,192,199,190,194.25,196.35,193.86,60252338,1.16805E+15,233758,6153112,0.1021
13-01-2020,TATAMOTORS,EQ,196.35,194.75,197.75,191.4,195.9,196.25,194.56,40535961,7.88686E+14,153824,7702853,0.19
14-01-2020,TATAMOTORS,EQ,196.25,195.7,198.25,193.6,195.2,195.85,196.42,29867542,5.86669E+14,121231,2349518,0.0787
15-01-2020,TATAMOTORS,EQ,195.85,195,201.7,194,199.7,200.35,198.74,38485962,7.6486E+14,164803,3118661,0.081
16-01-2020,TATAMOTORS,EQ,200.35,199.5,200.6,196.9,197.25,197.55,198.68,28118140,5.58649E+14,143016,3114624,0.1108
17-01-2020,TATAMOTORS,EQ,197.55,197.25,199.45,195.7,196.7,197.3,198.1,18204088,3.60618E+14,90448,1075718,0.0591
20-01-2020,TATAMOTORS,EQ,197.3,198,201.45,194.3,195.55,195,197.2,28976013,5.71408E+14,124160,2721775,0.0939
21-01-2020,TATAMOTORS,EQ,195,195.5,196.4,190.2,190.25,191.4,193.54,20859400,4.03709E+14,101560,2045869,0.0981
22-01-2020,TATAMOTORS,EQ,191.4,191.95,192.5,184.25,185.6,185.6,186.78,32952072,6.15495E+14,147905,4602385,0.1397
23-01-2020,TATAMOTORS,EQ,185.6,186.75,190.4,183.8,188.1,188.4,187.77,33032086,6.20243E+14,141362,2724024,0.0825
24-01-2020,TATAMOTORS,EQ,188.4,188,191,185,186.9,186.5,188.92,21791825,4.11689E+14,103503,3178972,0.1459
27-01-2020,TATAMOTORS,EQ,186.5,185.7,186.9,180.85,182.35,182.2,183.6,30132428,5.53228E+14,135488,5101016,0.1693
28-01-2020,TATAMOTORS,EQ,182.2,183.9,184.3,174.9,176.4,176.1,179.62,38283588,6.8764E+14,189737,8739649,0.2283
29-01-2020,TATAMOTORS,EQ,176.1,178.8,188.9,178.55,188.1,188.05,184.96,61585660,1.1391E+15,283929,6663303,0.1082
30-01-2020,TATAMOTORS,EQ,188.05,190.95,192.55,184.25,186.3,186.2,188.16,70900581,1.33406E+15,291552,7218067,0.1018
31-01-2020,TATAMOTORS,EQ,186.2,186.3,188.35,175.95,176.9,176.6,180.14,75621897,1.36226E+15,308408,9868706,0.1305
01-02-2020,TATAMOTORS,EQ,176.6,175.4,178.8,163.7,165.4,165.6,172.07,42515114,7.31573E+14,233423,5781201,0.136
03-02-2020,TATAMOTORS,EQ,165.6,163.5,168.3,159.55,164.4,163.85,163.79,66616190,1.09113E+15,311155,6577664,0.0987
04-02-2020,TATAMOTORS,EQ,163.85,166.55,168.6,161.2,166.35,165.7,165.32,49034642,8.10653E+14,224465,5286416,0.1078
05-02-2020,TATAMOTORS,EQ,165.7,167.4,184.95,166.6,183.4,183.75,177.48,92982265,1.65024E+15,357445,9596603,0.1032
06-02-2020,TATAMOTORS,EQ,183.75,182,183.4,175.75,178.5,178.85,179.03,61821140,1.10678E+15,256544,6854219,0.1109
07-02-2020,TATAMOTORS,EQ,178.85,177.4,178.15,173,173.5,173.6,175.19,45195760,7.91807E+14,180734,4124684,0.0913
10-02-2020,TATAMOTORS,EQ,173.6,173.2,173.2,168,169,168.9,169.44,33279372,5.63901E+14,155885,2887898,0.0868
11-02-2020,TATAMOTORS,EQ,168.9,171.85,175.15,168.4,170.05,169.75,172.5,42868276,7.39481E+14,170810,2296531,0.0536
12-02-2020,TATAMOTORS,EQ,169.75,173,173.3,169,171.1,170.95,170.83,34621395,5.91426E+14,136834,3698571,0.1068
13-02-2020,TATAMOTORS,EQ,170.95,171.35,172.35,168.1,169.65,169.5,169.7,25049848,4.25088E+14,99951,2886807,0.1152
14-02-2020,TATAMOTORS,EQ,169.5,172,176.2,168.3,169.65,169.1,172.52,56676430,9.77762E+14,233526,4898144,0.0864
17-02-2020,TATAMOTORS,EQ,169.1,170.4,171.35,166.35,170,169.1,168.83,32893274,5.55348E+14,142023,1753432,0.0533
18-02-2020,TATAMOTORS,EQ,169.1,168,168,158.6,162.55,161.6,162.25,52744122,8.55779E+14,208214,6956555,0.1319
19-02-2020,TATAMOTORS,EQ,161.6,162.85,164.6,153.05,158.1,158.05,157.33,78914233,1.24154E+15,321799,6092001,0.0772
20-02-2020,TATAMOTORS,EQ,158.05,157.95,162.3,156,158.75,158.5,159.44,54328194,8.66216E+14,205410,4426122,0.0815
24-02-2020,TATAMOTORS,EQ,158.5,154,155.9,149.6,150.6,150.65,153.41,39706007,6.09145E+14,191095,5113467,0.1288
25-02-2020,TATAMOTORS,EQ,150.65,152.2,153.4,147.45,150.45,149.9,149.93,52719851,7.90406E+14,199104,2731271,0.0518
26-02-2020,TATAMOTORS,EQ,149.9,146.9,147.9,143.7,144.5,144.55,145.64,47605927,6.9331E+14,218833,4704279,0.0988
27-02-2020,TATAMOTORS,EQ,144.55,144.15,146.75,141.1,145.3,145.25,143.41,51328153,7.3612E+14,180842,6470073,0.1261
28-02-2020,TATAMOTORS,EQ,145.25,138.85,139.6,127.05,129.65,128.95,132.43,94469619,1.25103E+15,341462,13132658,0.139
02-03-2020,TATAMOTORS,EQ,128.95,133,133.9,123.8,125.1,125.4,128.88,111585697,1.43815E+15,340443,12939787,0.116
03-03-2020,TATAMOTORS,EQ,125.4,127.5,131.4,125.25,130.4,130.35,127.87,86765576,1.1095E+15,287946,12890285,0.1486
04-03-2020,TATAMOTORS,EQ,130.35,129.6,129.6,120.55,126.4,126.2,124.9,97546902,1.21836E+15,294498,8351873,0.0856
05-03-2020,TATAMOTORS,EQ,126.2,127.55,129.15,124.25,124.75,125.75,126.45,87795649,1.1102E+15,268826,5143535,0.0586
06-03-2020,TATAMOTORS,EQ,125.75,115,117.3,112.8,113.8,114.2,114.92,83971462,9.64996E+14,331758,13405181,0.1596
09-03-2020,TATAMOTORS,EQ,114.2,109,109.85,104.25,104.9,105.7,107.19,81550460,8.74163E+14,284834,12502380,0.1533
11-03-2020,TATAMOTORS,EQ,105.7,104.85,106.5,97.8,98.35,98.9,101.88,111148611,1.13239E+15,335274,16466588,0.1481
12-03-2020,TATAMOTORS,EQ,98.9,91.1,94.9,84.1,88.95,88,89.33,143551005,1.28231E+15,483314,24688656,0.172
13-03-2020,TATAMOTORS,EQ,88,81.9,94.15,78.05,90.5,89.75,87.17,106153102,9.25321E+14,428426,20307907,0.1913
16-03-2020,TATAMOTORS,EQ,89.75,85.6,87.65,82.2,82.6,82.95,84.99,73707690,6.2647E+14,280638,14830661,0.2012
17-03-2020,TATAMOTORS,EQ,82.95,83.05,85,77.4,77.5,77.95,81.57,71849223,5.86088E+14,294238,12018544,0.1673
18-03-2020,TATAMOTORS,EQ,77.95,79.9,80.45,75.1,75.4,75.5,77.29,70134169,5.42094E+14,255759,11851509,0.169
19-03-2020,TATAMOTORS,EQ,75.5,70,76.5,68.75,72.9,72.95,72.83,68124538,4.96135E+14,258513,8662112,0.1272
20-03-2020,TATAMOTORS,EQ,72.95,74,79.6,72.65,77.8,77.3,76.07,86044637,6.54538E+14,260134,17087936,0.1986
23-03-2020,TATAMOTORS,EQ,77.3,70,72,66,66.7,66.2,68.84,34184331,2.35323E+14,205748,12336172,0.3609
24-03-2020,TATAMOTORS,EQ,66.2,69.9,71.5,63.5,68.95,68.55,67.98,49553202,3.3684E+14,231290,7492133,0.1512
25-03-2020,TATAMOTORS,EQ,68.55,67.75,71.7,67.25,70.1,70.25,69.25,57716006,3.99675E+14,221008,17182051,0.2977
26-03-2020,TATAMOTORS,EQ,70.25,71.45,73.5,68.3,70.95,70.8,70.9,63822905,4.52511E+14,240944,12581401,0.1971
27-03-2020,TATAMOTORS,EQ,70.8,72.05,75.9,69.35,70.7,70.7,72.09,58824452,4.24075E+14,221468,6902573,0.1173
30-03-2020,TATAMOTORS,EQ,70.7,68.8,70,67.25,68.4,68.15,68.6,35278179,2.42011E+14,145591,4965248,0.1407
31-03-2020,TATAMOTORS,EQ,68.15,70.6,71.5,68.2,70.75,71.05,70.08,46166723,3.23559E+14,176816,6604697,0.1431
01-04-2020,TATAMOTORS,EQ,71.05,70.5,71.65,67.55,67.95,67.95,69.14,38167981,2.63905E+14,158063,7834484,0.2053
03-04-2020,TATAMOTORS,EQ,67.95,66.9,66.9,64.8,65.45,65.3,65.5,35346490,2.31514E+14,161810,8319686,0.2354
07-04-2020,TATAMOTORS,EQ,65.3,68.55,69.3,66.9,67.2,67.25,67.81,42070735,2.85269E+14,149087,13029766,0.3097
08-04-2020,TATAMOTORS,EQ,67.25,66.5,71.6,65.4,67.75,67.6,68.76,82182403,5.65119E+14,248580,14804513,0.1801
09-04-2020,TATAMOTORS,EQ,67.6,69.6,76.25,69.1,74.5,74.6,73.81,112680750,8.31742E+14,350425,15404378,0.1367
13-04-2020,TATAMOTORS,EQ,74.6,76,77.6,72.7,74.5,74.25,74.47,70414018,5.24338E+14,256322,9433794,0.134
15-04-2020,TATAMOTORS,EQ,74.25,75.4,78.7,71.95,73.1,72.9,75.43,81126343,6.11906E+14,277572,14858676,0.1832
16-04-2020,TATAMOTORS,EQ,72.9,71.75,75.4,71,75.1,74.65,73.69,47910556,3.53043E+14,152202,5852162,0.1221
17-04-2020,TATAMOTORS,EQ,74.65,78.3,78.3,74.7,76.85,76.85,76.11,58336227,4.44009E+14,186796,9584419,0.1643
20-04-2020,TATAMOTORS,EQ,76.85,76.85,83.4,75.5,80.1,80.45,80.94,125427754,1.01525E+15,400016,14631225,0.1167
21-04-2020,TATAMOTORS,EQ,80.45,78,78,74,74.45,74.65,75.47,58249560,4.39621E+14,223568,13973828,0.2399
22-04-2020,TATAMOTORS,EQ,74.65,74.45,76.55,72.55,76.15,75.9,74.34,56529909,4.20267E+14,183754,7635802,0.1351
